nome,nota,faltas,situação,turma
Ana,5.1,3,Reforço,6ºA
Bruno,6.5,3,Reforço,6ºA
Carla,9.8,2,Aprovado,6ºA
Davi,8.1,4,Aprovado,6ºA
Eduarda,4.7,0,Reprovado,6ºA
Fábio,4.3,7,Reprovado,6ºB
Gabi,9.8,3,Aprovado,6ºB
Henrique,9.5,7,Aprovado,6ºB
Iara,9.3,10,Aprovado,6ºB
João,7.6,5,Aprovado,6ºB
Karla,4.5,7,Reprovado,7ºA
Lucas,7.0,7,Aprovado,7ºA
Maria,7.0,6,Aprovado,7ºA
Nathan,8.1,8,Aprovado,7ºA
Olívia,8.0,10,Aprovado,7ºA
Paulo,9.0,0,Aprovado,7ºB
Quésia,5.8,3,Reforço,7ºB
Rafael,8.3,2,Aprovado,7ºB
Sílvia,8.2,8,Aprovado,7ºB
Tiago,8.2,4,Aprovado,7ºB
