nome,nota,faltas,situação,turma
Ana,6.1,3,Reforço,6ºA
Bruno,4.9,6,Reprovado,6ºA
Carla,9.5,6,Aprovado,6ºA
Davi,4.6,1,Reprovado,6ºA
Eduarda,7.3,1,Aprovado,6ºA
Fábio,9.6,7,Aprovado,6ºB
Gabi,5.3,5,Reforço,6ºB
Henrique,4.2,9,Reprovado,6ºB
Iara,7.5,4,Aprovado,6ºB
João,5.0,0,Reforço,6ºB
Karla,5.4,1,Reforço,7ºA
Lucas,7.7,3,Aprovado,7ºA
Maria,6.3,0,Reforço,7ºA
Nathan,4.2,1,Reprovado,7ºA
Olívia,8.5,10,Aprovado,7ºA
Paulo,5.7,1,Reforço,7ºB
Quésia,4.7,1,Reprovado,7ºB
Rafael,8.9,4,Aprovado,7ºB
Sílvia,6.1,7,Reforço,7ºB
Tiago,8.3,1,Aprovado,7ºB
