nome,nota,faltas,situação,turma
Ana,8.0,7,Aprovado,6ºA
Bruno,9.8,7,Aprovado,6ºA
Carla,4.1,6,Reprovado,6ºA
Davi,9.8,1,Aprovado,6ºA
Eduarda,5.7,7,Reforço,6ºA
Fábio,8.4,7,Aprovado,6ºB
Gabi,5.1,6,Reforço,6ºB
Henrique,6.9,9,Reforço,6ºB
Iara,7.5,5,Aprovado,6ºB
João,7.4,5,Aprovado,6ºB
Karla,6.2,10,Reforço,7ºA
Lucas,8.4,4,Aprovado,7ºA
Maria,4.0,3,Reprovado,7ºA
Nathan,5.7,5,Reforço,7ºA
Olívia,5.2,5,Reforço,7ºA
Paulo,9.0,6,Aprovado,7ºB
Quésia,7.0,6,Aprovado,7ºB
Rafael,9.9,2,Aprovado,7ºB
Sílvia,6.3,8,Reforço,7ºB
Tiago,9.5,3,Aprovado,7ºB
