nome,nota,faltas,situação,turma
Ana,8.0,5,Aprovado,6ºA
Bruno,5.6,5,Reforço,6ºA
Carla,9.5,6,Aprovado,6ºA
Davi,7.7,9,Aprovado,6ºA
Eduarda,9.1,1,Aprovado,6ºA
Fábio,8.9,9,Aprovado,6ºB
Gabi,5.8,3,Reforço,6ºB
Henrique,8.6,8,Aprovado,6ºB
Iara,4.7,5,Reprovado,6ºB
João,9.8,1,Aprovado,6ºB
Karla,6.0,8,Reforço,7ºA
Lucas,9.8,10,Aprovado,7ºA
Maria,4.4,3,Reprovado,7ºA
Nathan,8.4,8,Aprovado,7ºA
Olívia,9.4,2,Aprovado,7ºA
Paulo,6.5,3,Reforço,7ºB
Quésia,5.5,2,Reforço,7ºB
Rafael,8.3,6,Aprovado,7ºB
Sílvia,5.2,10,Reforço,7ºB
Tiago,8.8,6,Aprovado,7ºB
