nome,nota,faltas,situação,turma
Ana,9.4,10,Aprovado,6ºA
Bruno,4.8,5,Reprovado,6ºA
Carla,6.0,3,Reforço,6ºA
Davi,6.5,1,Reforço,6ºA
Eduarda,9.7,6,Aprovado,6ºA
Fábio,5.3,3,Reforço,6ºB
Gabi,5.8,7,Reforço,6ºB
Henrique,7.3,7,Aprovado,6ºB
Iara,8.0,10,Aprovado,6ºB
João,6.5,3,Reforço,6ºB
Karla,8.7,2,Aprovado,7ºA
Lucas,5.3,10,Reforço,7ºA
Maria,8.5,8,Aprovado,7ºA
Nathan,8.8,7,Aprovado,7ºA
Olívia,8.5,8,Aprovado,7ºA
Paulo,9.5,10,Aprovado,7ºB
Quésia,9.5,2,Aprovado,7ºB
Rafael,6.2,0,Reforço,7ºB
Sílvia,10.0,9,Aprovado,7ºB
Tiago,8.1,7,Aprovado,7ºB
