nome,nota,faltas,situação,turma
Ana,9.0,0,Aprovado,6ºA
Bruno,8.8,0,Aprovado,6ºA
Carla,9.6,2,Aprovado,6ºA
Davi,7.4,7,Aprovado,6ºA
Eduarda,4.0,0,Reprovado,6ºA
Fábio,8.9,6,Aprovado,6ºB
Gabi,9.1,3,Aprovado,6ºB
Henrique,4.5,8,Reprovado,6ºB
Iara,8.1,6,Aprovado,6ºB
João,4.9,0,Reprovado,6ºB
Karla,9.4,0,Aprovado,7ºA
Lucas,6.1,8,Reforço,7ºA
Maria,6.7,8,Reforço,7ºA
Nathan,9.3,5,Aprovado,7ºA
Olívia,6.3,1,Reforço,7ºA
Paulo,6.3,4,Reforço,7ºB
Quésia,7.4,2,Aprovado,7ºB
Rafael,9.7,8,Aprovado,7ºB
Sílvia,9.6,4,Aprovado,7ºB
Tiago,4.5,4,Reprovado,7ºB
