nome,nota,faltas,situação,turma
Ana,6.2,6,Reforço,6ºA
Bruno,10.0,10,Aprovado,6ºA
Carla,4.6,9,Reprovado,6ºA
Davi,9.5,8,Aprovado,6ºA
Eduarda,6.0,10,Reforço,6ºA
Fábio,5.6,10,Reforço,6ºB
Gabi,6.6,1,Reforço,6ºB
Henrique,7.7,1,Aprovado,6ºB
Iara,4.6,4,Reprovado,6ºB
João,6.5,2,Reforço,6ºB
Karla,4.8,6,Reprovado,7ºA
Lucas,5.2,6,Reforço,7ºA
Maria,4.5,10,Reprovado,7ºA
Nathan,5.9,1,Reforço,7ºA
Olívia,5.4,7,Reforço,7ºA
Paulo,5.8,5,Reforço,7ºB
Quésia,6.0,5,Reforço,7ºB
Rafael,4.2,5,Reprovado,7ºB
Sílvia,5.3,7,Reforço,7ºB
Tiago,8.3,6,Aprovado,7ºB
