nome,nota,faltas,situação,turma
Ana,4.7,9,Reprovado,6ºA
Bruno,7.0,3,Aprovado,6ºA
Carla,8.0,6,Aprovado,6ºA
Davi,4.5,8,Reprovado,6ºA
Eduarda,7.4,2,Aprovado,6ºA
Fábio,7.1,4,Aprovado,6ºB
Gabi,9.7,2,Aprovado,6ºB
Henrique,6.8,0,Reforço,6ºB
Iara,4.2,8,Reprovado,6ºB
João,7.5,3,Aprovado,6ºB
Karla,8.7,6,Aprovado,7ºA
Lucas,5.2,2,Reforço,7ºA
Maria,8.2,2,Aprovado,7ºA
Nathan,8.1,8,Aprovado,7ºA
Olívia,9.0,0,Aprovado,7ºA
Paulo,9.5,8,Aprovado,7ºB
Quésia,8.4,6,Aprovado,7ºB
Rafael,8.2,9,Aprovado,7ºB
Sílvia,6.1,0,Reforço,7ºB
Tiago,5.8,0,Reforço,7ºB
