nome,nota,faltas,situação,turma
Ana,9.3,8,Aprovado,6ºA
Bruno,8.3,8,Aprovado,6ºA
Carla,4.0,5,Reprovado,6ºA
Davi,6.2,5,Reforço,6ºA
Eduarda,8.7,10,Aprovado,6ºA
Fábio,5.8,10,Reforço,6ºB
Gabi,7.6,9,Aprovado,6ºB
Henrique,4.2,0,Reprovado,6ºB
Iara,5.0,4,Reforço,6ºB
João,6.6,7,Reforço,6ºB
Karla,7.1,9,Aprovado,7ºA
Lucas,4.8,1,Reprovado,7ºA
Maria,4.3,9,Reprovado,7ºA
Nathan,8.1,0,Aprovado,7ºA
Olívia,5.5,6,Reforço,7ºA
Paulo,7.8,7,Aprovado,7ºB
Quésia,6.1,1,Reforço,7ºB
Rafael,6.7,1,Reforço,7ºB
Sílvia,7.8,7,Aprovado,7ºB
Tiago,9.1,0,Aprovado,7ºB
