nome,nota,faltas,situação,turma
Ana,9.4,10,Aprovado,6ºA
Bruno,4.7,7,Reprovado,6ºA
Carla,9.9,1,Aprovado,6ºA
Davi,6.7,10,Reforço,6ºA
Eduarda,5.1,2,Reforço,6ºA
Fábio,9.6,0,Aprovado,6ºB
Gabi,5.2,1,Reforço,6ºB
Henrique,7.4,2,Aprovado,6ºB
Iara,4.5,3,Reprovado,6ºB
João,9.5,9,Aprovado,6ºB
Karla,8.4,1,Aprovado,7ºA
Lucas,9.1,9,Aprovado,7ºA
Maria,4.4,9,Reprovado,7ºA
Nathan,5.6,8,Reforço,7ºA
Olívia,9.8,4,Aprovado,7ºA
Paulo,7.6,2,Aprovado,7ºB
Quésia,7.9,9,Aprovado,7ºB
Rafael,7.6,8,Aprovado,7ºB
Sílvia,9.8,4,Aprovado,7ºB
Tiago,4.4,0,Reprovado,7ºB
