nome,nota,faltas,situação,turma
Ana,7.6,7,Aprovado,6ºA
Bruno,9.5,0,Aprovado,6ºA
Carla,6.2,2,Reforço,6ºA
Davi,5.7,1,Reforço,6ºA
Eduarda,5.9,10,Reforço,6ºA
Fábio,7.7,10,Aprovado,6ºB
Gabi,8.3,9,Aprovado,6ºB
Henrique,8.8,8,Aprovado,6ºB
Iara,8.9,0,Aprovado,6ºB
João,7.4,2,Aprovado,6ºB
Karla,4.1,5,Reprovado,7ºA
Lucas,6.6,1,Reforço,7ºA
Maria,6.8,7,Reforço,7ºA
Nathan,7.6,8,Aprovado,7ºA
Olívia,6.2,3,Reforço,7ºA
Paulo,8.8,2,Aprovado,7ºB
Quésia,8.3,4,Aprovado,7ºB
Rafael,5.2,10,Reforço,7ºB
Sílvia,4.6,10,Reprovado,7ºB
Tiago,8.2,10,Aprovado,7ºB
