nome,nota,faltas,situação,turma
Ana,4.4,3,Reprovado,6ºA
Bruno,7.6,5,Aprovado,6ºA
Carla,4.6,1,Reprovado,6ºA
Davi,6.2,5,Reforço,6ºA
Eduarda,8.4,8,Aprovado,6ºA
Fábio,4.2,0,Reprovado,6ºB
Gabi,7.7,9,Aprovado,6ºB
Henrique,5.5,0,Reforço,6ºB
Iara,4.1,7,Reprovado,6ºB
João,6.6,3,Reforço,6ºB
Karla,8.7,5,Aprovado,7ºA
Lucas,5.6,4,Reforço,7ºA
Maria,6.5,1,Reforço,7ºA
Nathan,9.4,3,Aprovado,7ºA
Olívia,4.3,4,Reprovado,7ºA
Paulo,9.3,1,Aprovado,7ºB
Quésia,5.3,6,Reforço,7ºB
Rafael,5.1,1,Reforço,7ºB
Sílvia,9.5,9,Aprovado,7ºB
Tiago,7.8,8,Aprovado,7ºB
