nome,nota,faltas,situação,turma
Ana,4.7,7,Reprovado,6ºA
Bruno,7.9,9,Aprovado,6ºA
Carla,5.5,2,Reforço,6ºA
Davi,8.9,0,Aprovado,6ºA
Eduarda,7.6,9,Aprovado,6ºA
Fábio,6.4,8,Reforço,6ºB
Gabi,5.2,1,Reforço,6ºB
Henrique,4.5,10,Reprovado,6ºB
Iara,9.9,10,Aprovado,6ºB
João,6.3,7,Reforço,6ºB
Karla,5.2,9,Reforço,7ºA
Lucas,7.6,5,Aprovado,7ºA
Maria,9.0,3,Aprovado,7ºA
Nathan,5.1,7,Reforço,7ºA
Olívia,5.1,7,Reforço,7ºA
Paulo,7.2,8,Aprovado,7ºB
Quésia,8.1,7,Aprovado,7ºB
Rafael,7.6,8,Aprovado,7ºB
Sílvia,7.1,2,Aprovado,7ºB
Tiago,9.1,1,Aprovado,7ºB
