nome,nota,faltas,situação,turma
Ana,6.7,10,Reforço,6ºA
Bruno,9.0,9,Aprovado,6ºA
Carla,5.4,2,Reforço,6ºA
Davi,8.6,1,Aprovado,6ºA
Eduarda,10.0,6,Aprovado,6ºA
Fábio,7.7,0,Aprovado,6ºB
Gabi,5.3,7,Reforço,6ºB
Henrique,8.4,5,Aprovado,6ºB
Iara,6.4,10,Reforço,6ºB
João,5.9,0,Reforço,6ºB
Karla,5.3,8,Reforço,7ºA
Lucas,9.7,0,Aprovado,7ºA
Maria,7.9,4,Aprovado,7ºA
Nathan,5.1,3,Reforço,7ºA
Olívia,7.9,8,Aprovado,7ºA
Paulo,7.6,8,Aprovado,7ºB
Quésia,8.6,6,Aprovado,7ºB
Rafael,5.8,1,Reforço,7ºB
Sílvia,9.0,10,Aprovado,7ºB
Tiago,4.9,10,Reprovado,7ºB
