nome,nota,faltas,situação,turma
Ana,8.9,10,Aprovado,6ºA
Bruno,4.4,0,Reprovado,6ºA
Carla,6.0,5,Reforço,6ºA
Davi,6.5,4,Reforço,6ºA
Eduarda,8.7,1,Aprovado,6ºA
Fábio,4.7,6,Reprovado,6ºB
Gabi,7.9,5,Aprovado,6ºB
Henrique,7.3,1,Aprovado,6ºB
Iara,7.6,5,Aprovado,6ºB
João,8.6,10,Aprovado,6ºB
Karla,5.9,3,Reforço,7ºA
Lucas,5.8,6,Reforço,7ºA
Maria,6.0,5,Reforço,7ºA
Nathan,5.7,0,Reforço,7ºA
Olívia,6.6,0,Reforço,7ºA
Paulo,4.6,2,Reprovado,7ºB
Quésia,9.7,6,Aprovado,7ºB
Rafael,8.6,1,Aprovado,7ºB
Sílvia,6.4,1,Reforço,7ºB
Tiago,6.3,1,Reforço,7ºB
